# Widelands 简体中文术语表——由 build_glossary.py 生成，请勿手工编辑。
# 要改译名请改 i18n-zh/corrections.tsv 后重新生成。
# check_po.py --glossary 会据此校验全部 32 个域的一致性。
#
# 英文	中文	msgctxt	出处	备注
Sentinel	边哨	frisians_building	tribes	
Sentry	岗哨	barbarians_building	tribes	
Sentry	岗哨	empire_building	tribes	
Sepatini	塞帕蒂尼号	shipname	tribes	
Sepoti	塞波蒂号	shipname	tribes	
Seruini	塞鲁伊尼号	shipname	tribes	
Server	服务器		corrections	
sewing a tunic	缝制一件紧身上衣		tribes	
sewing a warrior’s coat	缝制一件勇士之铠		tribes	
sewing fur garment	缝制皮装		tribes	
sewing golden fur garment	缝制金缕皮铠		tribes	
Sewing Room	裁缝铺	frisians_building	tribes	
sewing studded fur garment	缝制钉饰皮铠		tribes	
Sharp Ax	锋利的斧头	ware	tribes	
Sheep	绵羊		world	
Sheep Farm	牧羊场	empire_building	tribes	
Shepherd	牧羊倌	empire_worker	tribes	
Ship	船		corrections	五个部族上下文一致使用"船"，更短且适合 UI，不改为"船只"
Ship	船	atlanteans_ship	corrections	五个部族上下文一致使用"船"，更短且适合 UI，不改为"船只"
Ship	船	barbarians_ship	corrections	五个部族上下文一致使用"船"，更短且适合 UI，不改为"船只"
Ship	船	empire_ship	corrections	五个部族上下文一致使用"船"，更短且适合 UI，不改为"船只"
Ship	船	frisians_ship	corrections	五个部族上下文一致使用"船"，更短且适合 UI，不改为"船只"
Ship Under Construction	建造中的船只	immovable	tribes	
Shipwright	造船木工	amazons_worker	tribes	
Shipwright	造船木工	atlanteans_worker	tribes	
Shipwright	造船木工	barbarians_worker	tribes	
Shipwright	造船木工	empire_worker	tribes	
Shipwright	造船木工	frisians_worker	tribes	
Shipyard	造船厂	amazons_building	tribes	
Shipyard	造船厂	atlanteans_building	tribes	
Shipyard	造船厂	barbarians_building	tribes	
Shipyard	造船厂	empire_building	tribes	
Shipyard	造船厂	frisians_building	tribes	
Short Sword	短剑	ware	tribes	
Shovel	铁铲	ware	tribes	
Sidolus	西多勒斯	shipname	tribes	
Siena	锡耶纳	shipname	tribes	
Sigmund	西格蒙德	shipname	tribes	
Sigurd	西古德	shipname	tribes	
Skeleton	骨骼		world	
sleeping	睡觉		tribes	
Small Armor Smithy	轻装盔甲铺	frisians_building	tribes	
Small Tower	小型塔楼	atlanteans_building	tribes	
Smelter	熔炼工	atlanteans_worker	tribes	
Smelter	熔炼工	barbarians_worker	tribes	
Smelter	熔炼工	empire_worker	tribes	
Smelter	熔炼工	frisians_worker	tribes	
smelting gold	熔炼黄金		tribes	
smelting iron	炼铁		tribes	
Smelting Works	冶炼厂	atlanteans_building	tribes	
Smelting Works	冶炼厂	barbarians_building	tribes	
Smelting Works	冶炼厂	empire_building	tribes	
Smoked Fish	熏鱼	ware	tribes	
Smoked Meat	烟熏肉	ware	tribes	
Smoker	熏肉工	atlanteans_worker	tribes	
Smoker	熏肉工	frisians_worker	tribes	
Smokery	熏肉铺	atlanteans_building	tribes	
Smokery	熏肉铺	frisians_building	tribes	
smoking fish	熏鱼		tribes	
smoking meat	熏肉		tribes	
Snack	点心	ware	tribes	
Snotra	斯洛特拉	shipname	tribes	
Snow	雪		world	
Snowman	雪人		world	
Soldier	士兵	amazons_worker	tribes	
Soldier	士兵	atlanteans_worker	tribes	
Soldier	士兵	barbarians_worker	tribes	
Soldier	士兵	empire_worker	tribes	
Soldier	士兵	frisians_worker	tribes	
Some Coal	一些煤	resource_indicator	tribes	
Some Crystals	一些水晶	resource_indicator	tribes	
Some Gold	一些黄金	resource_indicator	tribes	
Some Granite	一些花岗石	resource_indicator	tribes	
Some Iron	一些铁	resource_indicator	tribes	
Some Marble	一些大理石	resource_indicator	tribes	
Some Quartz	少量石英	resource_indicator	tribes	
Spear	长矛	ware	tribes	
Sphalerite	闪锌矿	shipname	tribes	
Spiculum	锋矛号	shipname	tribes	
Spider	蜘蛛	shipname	tribes	
Spider Breeder	蜘蛛饲养者	atlanteans_worker	tribes	
Spider Farm	蜘蛛农场	atlanteans_building	tribes	
Spider Silk	蜘蛛丝	ware	tribes	
Spidercloth	蛛丝布	ware	tribes	
Spinel	尖晶石	shipname	tribes	
spinning gold	纺金		tribes	
Spruce	云杉		world	
Spruce (Mature)	云杉(成材的)		world	
Spruce (Old)	云杉(老树)		world	
Spruce (Pole)	云杉(树干)		world	
Spruce (Sapling)	云杉(树苗)		world	
Stag	雄鹿		world	
Standing Stone	竖立的石柱		world	
Standing Stones	立石		world	
Status	状态		win_conditions	
Steel Shield	钢盾	ware	tribes	
Steel Trident	钢三叉戟	ware	tribes	
Steppe	大草原		world	
Stink Shepherd’s Tree (medium)	臭牧羊树(半熟的)		tribes	
Stink Shepherd’s Tree (ripe)	臭牧羊树(成熟的)		tribes	
Stink Shepherd’s Tree (small)	臭牧羊树(小的)		tribes	
Stink Shepherd’s Tree (tiny)	臭牧羊树(微小的)		tribes	
Stockpile	库存		tribes	
Stone Bowl	石碗	ware	tribes	
Stone Carver	石雕工	amazons_worker	tribes	
Stone Mine	石头矿	amazons_building	tribes	
Stone Workshop	石材车间	amazons_building	tribes	
Stone-tipped Spear	尖石矛	ware	tribes	
Stonecutter	采石匠	amazons_worker	tribes	
Stonecutter	采石匠	atlanteans_worker	tribes	
Stonecutter’s Hut	采石匠小屋	amazons_building	tribes	
Stonemason	石匠	barbarians_worker	tribes	
Stonemason	石匠	empire_worker	tribes	
Stonemason	石匠	frisians_worker	tribes	
Stonemason’s House	石匠之屋	empire_building	tribes	
Stones	石料		world	
Strand	斯特兰德	shipname	tribes	
Strawberries (medium)	草莓(半熟的)		tribes	
Strawberries (ripe)	草莓(成熟的)		tribes	
Strawberries (small)	草莓(小的)		tribes	
Strawberries (tiny)	草莓(微小的)		tribes	
Strong Beer	高浓度啤酒	ware	tribes	
Struggling Outpost	艰难前哨		corrections	struggling 指处境艰难，原译"战争中的前哨"无依据
Studded Fur Garment	钉饰皮铠	ware	tribes	
Sturdy Boots	坚固的靴子	ware	tribes	
Sucunduri	苏昆杜里号	shipname	tribes	
Summer	夏季		world	
Sunstone	日长石	shipname	tribes	
Swamp	沼泽		world	
Swift Boots	健步鞋	ware	tribes	
Sylt	叙尔特岛	shipname	tribes	
Süderaue	苏德劳	shipname	tribes	
Süderoog	苏德鲁格	shipname	tribes	
Süderoogsand	苏德鲁格沙滩	shipname	tribes	
Südfall	苏德福尔	shipname	tribes	
Tabard	无袖短外套	ware	tribes	
Taiga 1	针叶林 1		world	
Taiga 2	针叶林 2		world	
Taiga 3	针叶林 3		world	
tailoring a golden tabard	缝制黄金战袍		tribes	
tailoring a tabard	缝制无袖短外套		tribes	
Tailor’s Shop	裁缝店	frisians_building	tribes	
Tapajós	塔帕若斯号	shipname	tribes	
Tapauá	塔帕瓦号	shipname	tribes	
Tapir	貘貘	amazons_worker	tribes	
Tapir Breeder	貘貘饲养员	amazons_worker	tribes	
Tapir Farm	貘貘饲养场	amazons_building	tribes	
Tarauacá	塔劳阿卡号	shipname	tribes	
Tarumã Açu	塔鲁曼阿苏号	shipname	tribes	
Tarumã Mirim	塔鲁曼米林号	shipname	tribes	
Tavern	小酒馆	barbarians_building	tribes	
Tavern	小酒馆	empire_building	tribes	
Tavern	小酒馆	frisians_building	tribes	
Tea	特亚号	shipname	tribes	
Team	团队		corrections	指玩家结盟，"小队"易与士兵编队混淆
Tefé	特费号	shipname	tribes	
Territorial Lord	领土之主		win_conditions	
Territorial Time	领土时间		win_conditions	
Territory percentage	领土百分比		win_conditions	
the configured time limit	设定的时限		win_conditions	
The fishing grounds are full	渔场满了		tribes	
The Widelands Development Team	Widelands 开发团队		tribes	
Thor	雷神	shipname	tribes	
Thron	斯隆	shipname	tribes	
Thupa	图帕号	shipname	tribes	
Thyrrenia	伊特鲁里亚	shipname	tribes	
Tiberius	泰比里厄斯	shipname	tribes	
Tiger Eye	虎睛石	shipname	tribes	
Tips	提示		tribes	
Titus	提图斯	shipname	tribes	
Tobago	多巴哥岛	shipname	tribes	
Tombstone	墓碑		world	
Tonantins	托南廷斯号	shipname	tribes	
Toolsmith	工具制造者	atlanteans_worker	tribes	
Toolsmith	工具制造者	empire_worker	tribes	
Toolsmithy	工具铺	atlanteans_building	tribes	
Toolsmithy	工具铺	empire_building	tribes	
Toototobi	托托托比号	shipname	tribes	
Topaz	黄宝石	shipname	tribes	
Tortuga	托尔图加岛	shipname	tribes	
Tourmaline	黑碧玺	shipname	tribes	
Tower	塔楼	amazons_building	tribes	
Tower	塔楼	atlanteans_building	tribes	
Tower	塔楼	barbarians_building	tribes	
Tower	塔楼	empire_building	tribes	
Tower	塔楼	frisians_building	tribes	
Trade	贸易		corrections	
Trading Outpost	贸易前哨		tribes	
Traianus	特拉扬斯	shipname	tribes	
Trainer	教练员	amazons_worker	tribes	
Trainer	教练员	atlanteans_worker	tribes	
Trainer	教练员	barbarians_worker	tribes	
Trainer	教练员	empire_worker	tribes	
Trainer	教练员	frisians_worker	tribes	
Training Arena	训练场	frisians_building	tribes	
Training Camp	训练营	barbarians_building	tribes	
Training Camp	训练营	empire_building	tribes	
Training Camp	训练营	frisians_building	tribes	
Training Glade	林中训练场	amazons_building	tribes	
Traíra	特拉伊拉号	shipname	tribes	
Trees owned	拥有的树木		win_conditions	
Treetop Sentry	树上岗哨	amazons_building	tribes	
Tribal Encyclopedia	部落大百科		tribes	
Tribes Immovables	部族固定物		tribes	
Trinidad	特立尼达	shipname	tribes	
Tumiã	图米安号	shipname	tribes	
Tundra	苔原		world	
Tundra Taiga	冻原针叶林		world	
Tunic	紧身上衣	ware	tribes	
Tupana	图帕纳号	shipname	tribes	
Twine Tree	安庆连理树		world	
Twine Tree (Mature)	安庆连理树(成材的)		world	
Twine Tree (Old)	安庆连理树(老树)		world	
Twine Tree (Pole)	安庆连理树(树干)		world	
Twine Tree (Sapling)	安庆连理树(树苗)		world	
Uaicurapa	瓦伊库拉帕号	shipname	tribes	
Uarini	瓦里尼号	shipname	tribes	
Uatumã	瓦图曼号	shipname	tribes	
Uaupés	瓦乌佩斯号	shipname	tribes	
Ullr	乌勒尔	shipname	tribes	
Umari	乌马里号	shipname	tribes	
Uneiuxi	乌内尤希号	shipname	tribes	
Unini	乌尼尼号	shipname	tribes	
Urqon	乌尔孔号	shipname	tribes	
Urubaxi	乌鲁巴希号	shipname	tribes	
Urubu	乌鲁布号	shipname	tribes	
Urucu	乌鲁库号	shipname	tribes	
Urupadi	乌鲁帕迪号	shipname	tribes	
Uruá	乌鲁阿号	shipname	tribes	
Uthlande	乌斯兰德	shipname	tribes	
Valdar	瓦尔达	shipname	tribes	
Valkyrie	女武神号	shipname	tribes	
Venator	猎手号	shipname	tribes	
Venus	维纳斯	shipname	tribes	
Vergilius	维吉尔号	shipname	tribes	
Vespa	黄蜂号	shipname	tribes	
Vespasianus	维斯帕西安	shipname	tribes	
Vesta	女灶神	shipname	tribes	
Vesuvius	维苏威号	shipname	tribes	
Vili	威宁	shipname	tribes	
Village	村庄		tribes	
Vine Farmer	葡萄种植农夫	empire_worker	tribes	
Vinea	威尼亚	shipname	tribes	
Vineyard	葡萄园	empire_building	tribes	
Vintner	酿酒师	empire_worker	tribes	
Viracocha	维拉科查号	shipname	tribes	
Vitellius	维特里乌斯	shipname	tribes	
Volf	伏尔夫	shipname	tribes	
War Mill	战争磨坊	barbarians_building	tribes	
War Spear	战矛	ware	tribes	
Warehouse	仓库		corrections	五个部族一致
Warehouse	仓库	amazons_building	corrections	五个部族一致
Warehouse	仓库	atlanteans_building	corrections	五个部族一致
Warehouse	仓库	barbarians_building	corrections	五个部族一致
Warehouse	仓库	empire_building	corrections	五个部族一致
Warehouse	仓库	frisians_building	corrections	五个部族一致
Wares	物品		corrections	三个域一致使用，"货物"零出现，不做无谓改动
Warhelm	战盔	ware	tribes	
Warriors’ Dwelling	勇士聚义厅	amazons_building	tribes	
Warriors’ Gathering	勇士俱乐部	amazons_building	tribes	
Warrior’s Ax	勇士之斧	ware	tribes	
Warrior’s Coat	勇士之铠	ware	tribes	
Washkar	瓦斯卡尔号	shipname	tribes	
Wasteland	荒地		world	
Wasteland Trees	荒地树木		world	
Water	水		world	
Water	水	resource_indicator	tribes	
Water	水	ware	tribes	
Water Gatherer’s Hut	采水小屋	amazons_building	tribes	
Wayna Qhapaq	瓦伊纳卡帕克号	shipname	tribes	
Weapon Smithy	兵器铺	atlanteans_building	tribes	
Weapon Smithy	兵器铺	empire_building	tribes	
Weaponsmith	兵器匠	atlanteans_worker	tribes	
Weaponsmith	兵器匠	empire_worker	tribes	
Weaver	纺织工	atlanteans_worker	tribes	
Weaver	纺织工	barbarians_worker	tribes	
Weaver	纺织工	empire_worker	tribes	
weaving	纺织		tribes	
weaving cloth	织布		tribes	
Weaving Mill	织坊	atlanteans_building	tribes	
Weaving Mill	织坊	barbarians_building	tribes	
Weaving Mill	织坊	empire_building	tribes	
Weaving Mill	织坊	frisians_building	tribes	
weaving spidercloth	编织蛛丝布		tribes	
Well	井	atlanteans_building	tribes	
Well	井	barbarians_building	tribes	
Well	井	empire_building	tribes	
Well	井	frisians_building	tribes	
Wheat	小麦	ware	tribes	
Wheat Field (harvested)	麦田(收获的)	immovable	tribes	
Wheat Field (medium)	麦田(半熟的)	immovable	tribes	
Wheat Field (ripe)	麦田(成熟的)	immovable	tribes	
Wheat Field (small)	麦田(小的)	immovable	tribes	
Wheat Field (tiny)	麦田(微小的)	immovable	tribes	
Wild boar	山猪		world	
Wild Boar	野猪	shipname	tribes	
Wilderness Keeper	荒野守护者	amazons_worker	tribes	
Wilderness Keeper’s Tent	荒野守护者帐篷	amazons_building	tribes	
Wine	葡萄酒	ware	tribes	
Winery	葡萄酒酿造厂	empire_building	tribes	
Winter	冬季		world	
Wolf	狼		world	
Wolverine	狼獾	shipname	tribes	
Wood Gnome	木材守护神		win_conditions	
Wood Hardener	木材硬化厂	barbarians_building	tribes	
Woodcutter	樵夫	amazons_worker	tribes	
Woodcutter	樵夫	atlanteans_worker	tribes	
Woodcutter	樵夫	frisians_worker	tribes	
Woodcutter’s House	樵夫之屋	atlanteans_building	tribes	
Woodcutter’s House	樵夫之屋	frisians_building	tribes	
Woodcutter’s Hut	樵夫小屋	amazons_building	tribes	
Wooden Helmet	木制头盔	ware	tribes	
Wooden Spear	木矛	ware	tribes	
Wooden Tower	木塔	frisians_building	tribes	
Wool	羊毛	ware	tribes	
Workers	工人		tribes	
working	工作		tribes	
World Immovables	世界固定物		tribes	
Xeruã	谢鲁安号	shipname	tribes	
Xie	希埃号	shipname	tribes	
Yakumama	亚库玛玛号	shipname	tribes	
Yawar Waqaq	亚瓦尔瓦卡克号	shipname	tribes	
You lost	你输了		win_conditions	
You won	你赢了		win_conditions	
Yrsa	伊尔萨	shipname	tribes	
Zinchi Roqa	辛奇罗卡号	shipname	tribes	
